Date,Open,High,Low,Close,Adjusted_close,Volume
2001-01-02,21.0,21.6875,21.0,21.6875,3.9847,47200
2001-01-03,21.25,22.0,21.125,21.75,3.9964,40000
2001-01-04,22.0,22.9375,21.5,22.8125,4.1917,104800
2001-01-05,22.25,22.25,21.8125,22.1875,4.0769,28300
2001-01-08,21.8125,21.9375,21.4375,21.875,4.0194,8400
2001-01-09,21.4375,21.7188,20.9375,21.5,3.9506,20500
2001-01-10,21.4844,22.25,20.75,21.875,4.0194,26100
2001-01-11,21.3125,22.5,21.3125,22.0,4.0422,31700
2001-01-12,22.125,22.25,22.125,22.125,4.0652,32100
2001-01-16,22.125,23.5,21.875,23.5,4.3180000000000005,105100
2001-01-17,23.375,23.625,22.75,22.75,4.18,66600
2001-01-18,22.75,23.0,22.75,23.0,4.226,24200
2001-01-19,22.75,23.0,22.625,22.6875,4.1687,11900
2001-01-22,22.625,23.0938,22.5625,23.0,4.226,32500
2001-01-23,22.8125,23.125,22.8125,23.0,4.226,56600
2001-01-24,23.0625,23.5,22.875,23.0,4.226,36300
2001-01-25,23.0,23.0,22.5625,22.5625,4.1461,23300
2001-01-26,22.5625,22.5625,22.25,22.25,4.0883,10400
2001-01-29,22.375,22.5,22.0,22.0,4.0422,11800
2001-01-30,22.125,22.375,22.0,22.125,4.0652,16400
2001-01-31,22.125,22.25,21.625,21.625,3.9737,15000
2001-02-01,21.25,21.875,21.1875,21.875,4.0194,33900
2001-02-02,21.9375,22.0,21.5,21.625,3.9737,30900
2001-02-05,21.625,21.9375,21.625,21.875,4.0194,19300
2001-02-06,21.9375,22.125,21.875,22.125,4.0652,11900
2001-02-07,22.125,22.25,22.0,22.0625,4.0537,18100
2001-02-08,22.0625,22.625,22.0,22.375,4.1112,16900
2001-02-09,22.3125,22.8125,22.3125,22.8125,4.1917,47600
2001-02-12,22.875,23.125,22.5,22.9375,4.215,47200
2001-02-13,22.75,23.125,22.5,22.6875,4.1687,48400
2001-02-14,22.6875,22.6875,22.375,22.6875,4.1687,17400
2001-02-15,22.5781,23.125,22.5625,23.0625,4.2376,69700
2001-02-16,22.8125,23.125,22.6875,23.0,4.226,19200
2001-02-20,22.75,23.125,22.625,23.0625,4.2376,12500
2001-02-21,22.6875,23.875,22.6875,23.875,4.3868,20000
2001-02-22,23.875,23.875,23.0,23.125,4.249,18600
2001-02-23,22.75,22.9375,22.0,22.9375,4.215,29500
2001-02-26,22.9375,23.6875,22.75,23.0625,4.2376,36700
2001-02-27,23.0625,23.25,23.0625,23.125,4.249,10600
2001-02-28,23.0625,23.25,22.75,23.25,4.3058,11100
2001-03-01,23.2344,23.25,22.75,22.75,4.2132,7200
2001-03-02,22.625,23.4375,22.625,23.3125,4.317,11800
2001-03-05,23.3125,23.375,23.1875,23.1875,4.2939,20700
2001-03-06,23.1875,23.4375,22.75,23.4375,4.3403,36300
2001-03-07,23.4062,23.5,23.3125,23.375,4.3288,18800
2001-03-08,23.375,23.8125,23.375,23.75,4.398,30800
2001-03-09,23.5469,23.75,23.5,23.5,4.3519,17000
2001-03-12,23.5625,23.5625,22.9375,22.9375,4.2477,28700
2001-03-13,22.875,23.5,22.6875,23.5,4.3519,13600
2001-03-14,23.5,23.6875,22.875,22.875,4.236000000000001,34800
2001-03-15,23.125,23.125,22.75,23.125,4.2825,8500
2001-03-16,23.375,23.5,22.5,22.625,4.1894,45200
2001-03-19,22.6562,22.75,22.375,22.75,4.2132,7200
2001-03-20,22.875,23.1875,22.0,22.0,4.0741,22800
2001-03-21,22.0,22.5,21.0625,22.25,4.1206,21500
2001-03-22,21.5,21.875,20.875,21.875,4.0508,19800
2001-03-23,21.375,22.0,21.375,21.875,4.0508,17700
2001-03-26,21.75,23.0,21.75,23.0,4.2592,23900
2001-03-27,22.5,23.25,22.25,23.22,4.3,15400
2001-03-28,23.06,23.25,22.55,22.55,4.1761,12800
2001-03-29,22.3,23.2,22.3,22.5,4.1666,19000
2001-03-30,22.5,24.0,22.4375,24.0,4.4446,36800
2001-04-02,23.99,24.09,23.5,23.95,4.4352,25900
2001-04-03,23.5,24.5,23.05,24.5,4.5374,20300
2001-04-04,24.5,24.74,23.98,24.22,4.4849,135300
2001-04-05,24.15,24.31,24.11,24.31,4.5021,179900
2001-04-06,24.29,24.3,24.14,24.14,4.4701,36100
2001-04-09,24.16,24.25,24.14,24.25,4.4907,14300
2001-04-10,24.25,24.25,24.04,24.04,4.4519,90900
2001-04-11,24.0,24.18,23.75,23.75,4.398,20600
2001-04-12,23.7,24.15,23.7,23.9,4.4259,17600
2001-04-16,23.71,23.76,23.3,23.45,4.3425,17200
2001-04-17,23.6,23.6,23.25,23.55,4.3613,13600
2001-04-18,23.55,24.06,23.15,23.5,4.3519,48000
2001-04-19,23.27,23.7,23.04,23.64,4.3777,41800
2001-04-20,23.375,23.52,22.95,23.25,4.3058,29700
2001-04-23,23.25,23.42,23.25,23.25,4.3058,41000
2001-04-24,23.25,24.0,23.25,24.0,4.4446,17600
2001-04-25,23.65,24.35,23.65,24.35,4.5095,85000
2001-04-26,24.29,24.5,24.03,24.5,4.5374,26200
2001-04-27,24.59,24.95,24.51,24.95,4.6204,44600
2001-04-30,24.66,25.9,24.66,25.9,4.7963,176700
2001-05-01,25.0,25.8,24.2,25.17,4.8943,90800
2001-05-02,25.0,25.2,24.35,25.12,4.8844,14400
2001-05-03,25.15,25.15,24.61,24.78,4.8184,21100
2001-05-04,24.55,25.09,24.55,25.05,4.871,35600
2001-05-07,25.04,25.04,24.6,24.75,4.8124,11600
2001-05-08,24.65,25.0,24.65,24.91,4.843999999999999,22200
2001-05-09,24.7,25.35,24.7,25.19,4.8981,17400
2001-05-10,25.19,25.5,24.85,24.9,4.8417,120700
2001-05-11,25.2,25.2,24.65,24.65,4.7933,34400
2001-05-14,24.66,25.15,24.6367,24.67,4.7971,7700
2001-05-15,24.67,25.14,24.67,25.05,4.871,40400
2001-05-16,25.09,25.2,24.91,25.03,4.8669,51800
2001-05-17,24.96,25.2,24.9,24.9,4.8417,28300
2001-05-18,24.95,25.23,24.91,25.11,4.8825,8200
2001-05-21,25.2,25.7,25.2,25.5,4.9584,72500
2001-05-22,25.4,25.62,25.4,25.59,4.9759,143200
2001-05-23,25.51,25.6,25.51,25.55,4.9683,50300
2001-05-24,25.55,25.65,25.45,25.6,4.9779,41800
2001-05-25,25.58,25.58,25.4,25.4,4.9391,5200
2001-05-29,25.4,25.59,24.4,24.4,4.7446,11300
2001-05-30,24.47,24.9,24.25,24.25,4.7505,27000
2001-05-31,24.43,24.43,24.0,24.25,4.7505,52800
2001-06-01,24.25,24.5,24.25,24.5,4.7992,47600
2001-06-04,24.38,25.55,24.3,25.55,5.0048,56100
2001-06-05,25.0,25.89,25.0,25.89,5.0716,50900
2001-06-06,25.2,25.85,25.2,25.6,5.0149,38800
2001-06-07,25.7,25.9,25.25,25.9,5.0737,17500
2001-06-08,25.95,26.15,25.85,25.85,5.0641,83900
2001-06-11,25.85,26.42,25.85,26.16,5.1247,47100
2001-06-12,26.395,26.8,25.95,26.8,5.2498,19900
2001-06-13,26.4,26.91,26.4,26.74,5.2381,4200
2001-06-14,25.94,26.85,25.9,26.18,5.1285,440300
2001-06-15,26.37,26.37,25.94,26.0,5.093,242900
2001-06-18,26.1,26.1,25.66,25.7,5.0343,164700
2001-06-19,25.79,25.79,25.45,25.49,4.9933,67400
2001-06-20,25.45,25.95,25.33,25.45,4.9857,62800
2001-06-21,25.8,26.1,25.65,26.1,5.1127,64200
2001-06-22,25.92,26.18,25.9,26.01,5.0954,32000
2001-06-25,25.9,26.3,25.9,26.0,5.093,47100
2001-06-26,26.0,26.34,25.9,26.2,5.1324,35400
2001-06-27,26.2,26.25,25.5,26.2,5.1324,23500
2001-06-28,26.2,26.5,26.17,26.5,5.191,52000
2001-06-29,26.5,26.7,26.2,26.7,5.2303,78600
2001-07-02,26.7,26.82,26.2,26.75,5.2402,108800
2001-07-03,26.42,26.94,26.28,26.73,5.2363,52500
2001-07-05,26.2,26.9,26.0,26.01,5.0954,32100
2001-07-06,26.1,26.3,25.9,26.0,5.093,46100
2001-07-09,26.35,26.6,25.85,26.49,5.1895,54800
2001-07-10,26.24,26.75,26.24,26.51,5.1929,99100
2001-07-11,26.5,26.84,26.5,26.6,5.2105,64500
2001-07-12,26.7,26.7,26.6,26.63,5.2163,36100
2001-07-13,26.6,26.62,26.41,26.59,5.209,35200
2001-07-16,26.61,26.61,26.05,26.09,5.1106,44500
2001-07-17,25.95,26.47,25.45,26.47,5.1855,43000
2001-07-18,26.28,26.48,25.8,26.13,5.1183,192100
2001-07-19,26.13,26.32,26.0,26.15,5.1226,99100
2001-07-20,26.1,26.5,26.0,26.33,5.1579999999999995,37500
2001-07-23,26.33,26.34,26.0,26.08,5.1089,70300
2001-07-24,26.2,26.38,26.0,26.23,5.138,70400
2001-07-25,26.01,26.29,26.01,26.18,5.1285,55300
2001-07-26,26.23,26.4,26.1,26.35,5.1619,51300
2001-07-27,26.35,26.41,26.2,26.32,5.1555,195300
2001-07-30,26.43,26.45,26.3,26.44,5.1793,49300
2001-07-31,26.49,26.7,26.33,26.38,5.1678,103000
2001-08-01,26.33,27.0,26.33,26.98,5.2851,98200
2001-08-02,26.8,26.8,26.56,26.72,5.2344,62600
2001-08-03,26.5,26.75,26.4,26.55,5.2011,44100
2001-08-06,26.45,26.59,26.34,26.34,5.1595,21200
2001-08-07,26.34,26.49,26.0,26.23,5.138,24700
2001-08-08,26.14,26.29,25.8,25.92,5.0776,58700
2001-08-09,25.92,26.35,25.7,26.34,5.1595,33300
2001-08-10,25.8,26.5,25.8,26.42,5.1757,31200
2001-08-13,26.4,26.63,26.01,26.48,5.1872,43500
2001-08-14,26.49,27.25,26.2,27.25,5.3381,98700
2001-08-15,27.25,27.6,26.94,27.6,5.4064,33100
2001-08-16,27.5957,27.87,27.21,27.86,5.4577,29400
2001-08-17,27.25,28.13,27.25,27.95,5.4751,33800
2001-08-20,27.52,28.15,27.52,28.1,5.5043,46300
2001-08-21,28.0,28.0,27.5,27.7,5.4263,51900
2001-08-22,27.7,28.15,27.57,27.94,5.4733,30900
2001-08-23,27.75,27.99,27.45,27.59,5.4047,47500
2001-08-24,27.6,27.95,27.59,27.68,5.4221,50300
2001-08-27,27.6,27.99,27.0,27.06,5.3008,54500
2001-08-28,27.0,27.5,26.55,26.55,5.2011,27700
2001-08-29,26.94,26.94,25.75,26.0,5.1319,53900
2001-08-30,26.14,26.35,25.75,26.25,5.181,17800
2001-08-31,26.49,26.49,25.66,25.87,5.1063,49400
2001-09-04,25.74,26.75,25.74,26.65,5.26,49600
2001-09-05,26.35,26.68,25.92,26.44,5.2187,44600
2001-09-06,26.4,26.4,25.8,26.08,5.1479,73100
2001-09-07,25.86,26.0,25.52,25.62,5.0572,12700
2001-09-10,25.795,26.05,25.51,26.05,5.1418,39800
2001-09-17,26.05,26.51,25.0,26.07,5.1459,129100
2001-09-18,26.25,26.25,25.3,25.76,5.0846,26700
2001-09-19,25.76,25.8,24.06,25.45,5.0233,55500
2001-09-20,25.0,25.02,23.64,24.5,4.8356,110600
2001-09-21,23.66,24.5,23.0,23.19,4.5772,85200
2001-09-24,23.17,23.75,23.17,23.6,4.6584,23300
2001-09-25,23.73,24.15,23.25,23.75,4.688,38600
2001-09-26,23.75,23.9,23.29,23.9,4.7173,26200
2001-09-27,23.25,25.05,23.25,24.65,4.8654,24300
2001-09-28,24.7,26.15,24.61,26.15,5.1616,60700
2001-10-01,25.0,25.5,24.5,25.05,4.9441,31700
2001-10-02,25.1,25.44,24.84,25.39,5.0117,36100
2001-10-03,25.3,26.25,25.3,26.13,5.1577,77700
2001-10-04,25.9,25.9,25.16,25.56,5.045,25200
2001-10-05,25.65,25.75,25.15,25.15,4.9637,23800
